method,median_ms_per_token,mean_ms_per_token,std_ms_per_token,median_peak_memory_gb,median_incremental_peak_memory_gb,repeats,latency_change_vs_original_percent
A-LQR,5.409169481281424,5.4033123178981315,0.013817410614951271,2.882364928,0.264518656,7,1.158032050938762
H-infinity,5.45885587882367,5.453591482156688,0.012551526654317606,2.882364928,0.264518656,7,2.0872279676996452
Original,5.347246651217574,5.345809198541766,0.00461291150908294,2.882364928,0.264518656,7,0.0
