method,comparison,state_dimension,median_seconds,mean_seconds,std_seconds,minimum_seconds,maximum_seconds,median_peak_memory_gb,repeats
A-LQR (deployed),deployed,2048,0.20147243951214475,0.20056745855254116,0.002489176283471442,0.1947000520303845,0.2033153439406305,0.159539712,20
A-LQR (matched reduced core),matched_reduced_core,8,0.0030729600111953,0.00308498434606003,4.112811107303535e-05,0.0030338299693539,0.003163817920722,0.00854528,20
H-infinity (deployed),deployed,8,0.12451493350090455,0.12451231480808925,0.00021410681891962963,0.1241529389517381,0.1248802850022912,0.008840192,20
