,area,n_ch,med_resid,mean,std
LAF,dorsolateral prefrontal,9.0,0.6486772088065357,,
LAI,sensorimotor,11.0,0.7989934659853648,,
LAO,parieto-occipital,8.0,0.6309233075589038,,
LPF,sensorimotor,13.0,0.66342563517684,,
LPO,parieto-occipital,8.0,0.9425374967943807,,
LPT,posterior temporal,5.0,0.6731123916526236,,
LVF,premotor / dorsomedial frontal,15.0,0.9853981030959085,,
RAF,ventrolateral prefrontal,11.0,0.677946280531911,,
RAT,temporal / peri-insular,8.0,0.9146342056092818,,
RMF,premotor / dorsomedial frontal,5.0,0.5125247272024616,,
RMT,temporal / peri-insular,8.0,0.8109821392807615,,
RVF,premotor / dorsomedial frontal,7.0,0.5887319112745513,,
2,,,,0.7371313318645953,0.160775478835352
4,,,,0.812190103743838,0.08439161908715254
6,,,,0.8739564676276725,0.0505540666189673
8,,,,0.9503594785408159,0.04094700363323095
10,,,,0.9069715911581554,0.03352921184193702
12,,,,0.9631412509649161,0.03180145216042266
15,,,,0.9853980606003025,
