horizon_ms,sig_sd,R2_lin,R2_per,med_lin,q25_lin,q75_lin,med_per
20,2.033287763595581,0.9791406566838841,0.9788481,0.1556038213673258,0.0946441981705948,0.24295089830813155,0.15144118666648865
40,2.0416369438171387,0.9195732899175444,0.9168461,0.3025334990566335,0.18700218727995238,0.47982637972165487,0.3000982999801636
60,2.0501537322998047,0.8290248020266567,0.8180884,0.4371399153404202,0.27370488422275197,0.698942301410977,0.4450967311859131
100,2.067490816116333,0.5984022538139027,0.5370605,0.6651763346593624,0.4315861636462407,1.0398384763553215,0.7124214172363281
140,2.0836708545684814,0.3741333867986053,0.20102644,0.8333917833199607,0.5587876280984,1.2811899346318667,0.93590247631073
200,2.0895800590515137,0.15151048148237778,-0.2729087,0.9853980606003025,0.6831815441356875,1.470051704158223,1.1723055839538574
300,1.9493930339813232,0.016489942403766333,-0.85961974,1.0836441290583294,0.8099666915435304,1.5733128331582777,1.3591574430465698
400,1.7593510150909424,-0.015164561344497951,-1.2746212,1.1142594793242915,0.8764389708502947,1.5840060897896993,1.4198870658874512
500,1.74849534034729,-0.03206945739320388,-1.3914225,1.1099873797157103,0.9226065252035389,1.5667510043255262,1.5094621181488037
600,1.7829961776733398,-0.06062056752039391,-1.4443219,1.117180234990041,0.9590344228684318,1.644311675423574,1.5258837938308716
700,1.7939815521240234,-0.08843276512704579,-1.5368073,1.1344035168822675,0.9574629739195999,1.6350001204365916,1.565427541732788
