k,mean,std
2,0.19328134943626485,0.07366656119967765
4,0.1768760320939332,0.047335176592527804
6,0.1562238362592045,0.016034617990044436
8,0.1480014000877916,0.017224149803809628
10,0.15594828167080962,0.010208781911046714
12,0.14633102061217923,0.005833413150017254
15,0.15151048148237778,
