label,early,mid,late
DistilGPT-2,-0.006934463977813721,-0.006327241659164429,-0.022114276885986328
GPT-2 Small,0.0015105605125427246,-0.002629786729812622,-0.01991894841194153
GPT-2 Medium,0.005573555827140808,-1.5139579772949219e-05,-0.04390794038772583
Qwen 0.5B,-0.016718149185180664,0.0409853458404541,0.010996818542480469
GPT-2 Large,-0.0019023418426513672,0.0029038041830062866,0.08155679702758789
Qwen 1.5B,0.023243337869644165,0.0285719633102417,0.003530055284500122
Qwen 3B,0.003643423318862915,0.016489505767822266,0.024036318063735962
Qwen 7B,-0.0012423992156982422,0.00013059377670288086,0.012784123420715332
Qwen 14B,0.0005580782890319824,0.011335581541061401,-0.002596825361251831
