lead,area,n_ch,horizon_ms,R2_pers_ID,R2_pers_OOD,R2_lin_ID,R2_lin_OOD,delta_R2_lin
LAF,dorsolateral prefrontal,9,20,0.97767067,0.9758564,0.9768952811281676,0.9739059497588342,-0.0029893313693334367
LAF,dorsolateral prefrontal,9,100,0.5368036,0.47867143,0.580230180028797,0.3545686827950085,-0.22566149723378848
LAF,dorsolateral prefrontal,9,200,-0.35526252,-0.36081183,0.1277816899522516,-1.488852801707567,-1.6166344916598185
LAI,sensorimotor,11,20,0.9812494,0.9770043,0.9805355523387879,0.9764258213495627,-0.00410973098922518
LAI,sensorimotor,11,100,0.5856169,0.5012497,0.6096848548908059,0.5135008140944834,-0.09618404079632248
LAI,sensorimotor,11,200,-0.16778684,-0.30455375,0.14311738158155074,-0.2384104679387482,-0.38152784952029895
LAO,parieto-occipital,8,20,0.9728274,0.9719012,0.9720838438434037,0.9717185437967407,-0.00036530004666301963
LAO,parieto-occipital,8,100,0.42744833,0.43073165,0.48989963262185154,0.514444832487216,0.02454519986536441
LAO,parieto-occipital,8,200,-0.55784523,-0.608322,5.258036684696599e-05,0.026289858670882627,0.02623727830403566
LPF,sensorimotor,13,20,0.9802109,0.9815833,0.9809392732161443,0.9806104344078511,-0.0003288388082931526
LPF,sensorimotor,13,100,0.5200544,0.5969687,0.6064259314397643,0.6090040379547834,0.0025781065150191074
LPF,sensorimotor,13,200,-0.40914023,-0.07651353,0.1054367755347494,0.059380878486243516,-0.04605589704850588
LPO,parieto-occipital,8,20,0.9698895,0.9765458,0.9698998596857744,0.9764799680924731,0.006580108406698648
LPO,parieto-occipital,8,100,0.35242307,0.48762769,0.4694499080800646,0.5755645551687061,0.10611464708864149
LPO,parieto-occipital,8,200,-0.7280294,-0.58685386,0.02770271452062889,0.07992544128490775,0.05222272676427886
LPT,posterior temporal,5,20,0.9736671,0.9743,0.9730201989589651,0.9740013407230125,0.0009811417640473996
LPT,posterior temporal,5,100,0.47160584,0.44722295,0.5163450141279866,0.518640397617663,0.0022953834896763947
LPT,posterior temporal,5,200,-0.43112457,-0.5082215,0.06469427502475888,0.048515023609856156,-0.01617925141490273
LVF,premotor / dorsomedial frontal,15,20,0.9788481,0.9829799,0.9791406566357699,0.9816930514028801,0.002552394767110222
LVF,premotor / dorsomedial frontal,15,100,0.5370605,0.63426423,0.5984022518137012,0.6265745759931701,0.02817232417946891
LVF,premotor / dorsomedial frontal,15,200,-0.2729087,0.07329607,0.15151047506274096,0.08379993087320703,-0.06771054418953393
RAF,ventrolateral prefrontal,11,20,0.978594,0.97538257,0.9784021420230301,0.9189373043142641,-0.05946483770876598
RAF,ventrolateral prefrontal,11,100,0.54001176,0.4744069,0.5816059056575347,0.38219218750381845,-0.19941371815371622
RAF,ventrolateral prefrontal,11,200,-0.2606833,-0.34923565,0.09799479336810502,-0.2979100968233859,-0.3959048901914909
RAT,temporal / peri-insular,8,20,0.9723454,0.97712356,0.9747001920292875,0.9775107078153359,0.0028105157860484065
RAT,temporal / peri-insular,8,100,0.43416387,0.5177703,0.5332019113529514,0.5640835018847505,0.030881590531799175
RAT,temporal / peri-insular,8,200,-0.37148798,-0.19888961,0.09092019893164505,0.08898116337855888,-0.0019390355530861658
RMF,premotor / dorsomedial frontal,5,20,0.97981346,0.97390825,0.9797331383490985,0.9739561107514498,-0.005777027597648643
RMF,premotor / dorsomedial frontal,5,100,0.56194556,0.4349193,0.601853820850554,0.4753422263590863,-0.12651159449146776
RMF,premotor / dorsomedial frontal,5,200,-0.15302885,-0.46598673,0.1815441518256179,-0.29263103818866254,-0.47417519001428043
RMT,temporal / peri-insular,8,20,0.9740999,0.97691905,0.9742300155888947,0.9747864053489902,0.0005563897600955325
RMT,temporal / peri-insular,8,100,0.45322186,0.5141077,0.5291022700809896,0.5077444673442949,-0.021357802736694742
RMT,temporal / peri-insular,8,200,-0.36431658,-0.21573758,0.10038336578710605,-0.052759702503730965,-0.15314306829083701
RVF,premotor / dorsomedial frontal,7,20,0.9813858,0.9807035,0.9814658270740468,0.9807615288963336,-0.0007042981777132251
RVF,premotor / dorsomedial frontal,7,100,0.6022946,0.54929066,0.6338856237629691,0.6180876092972798,-0.015798014465689292
RVF,premotor / dorsomedial frontal,7,200,-0.034290314,-0.35403645,0.2161736702337108,0.13672396125336106,-0.07944970898034975
