axis,horizon_ms,split,med_lin,med_res,reduction
stim-context,20,ID,0.15560382136732587,0.15958070878286473,-0.003976887415538866
stim-context,20,OOD,0.08344382752686867,0.08946819449725821,-0.006024366970389536
stim-context,40,ID,0.3025334990566334,0.3078679054518315,-0.00533440639519811
stim-context,40,OOD,0.16494768535181822,0.17043532833603386,-0.0054876429842156405
stim-context,100,ID,0.6651763346593627,0.6774418337543828,-0.012265499095020171
stim-context,100,OOD,0.4007252947045388,0.3903881529875101,0.010337141717028708
stim-context,200,ID,0.9853980606003025,1.0014361073204727,-0.016038046720170174
stim-context,200,OOD,0.6956121034279119,0.6370020165498378,0.05861008687807412
conflict,20,ID,0.1469322396546886,0.14716970956871678,-0.00023746991402817663
conflict,20,OOD,0.1444830924398229,0.15209998231910296,-0.007616889879280053
conflict,40,ID,0.2897833295138352,0.2903647027957854,-0.0005813732819502371
conflict,40,OOD,0.28448724116734087,0.28806971500432954,-0.0035824738369886755
conflict,100,ID,0.6232722669084012,0.6468337261574008,-0.02356145924899955
conflict,100,OOD,0.6435317849997909,0.6492209920657005,-0.005689207065909585
conflict,200,ID,0.9578642271909552,0.9906842523544228,-0.0328200251634676
conflict,200,OOD,0.9754740341284511,0.988432638177874,-0.01295860404942284
