shift,regime,ID,OOD,amplification
Spanish,early,0.4242631793022156,0.4306163787841797,0.007788181304931641
Spanish,mid,0.34262552857398987,0.35645461082458496,0.008196383714675903
Spanish,late,0.5030573010444641,0.5225796699523926,0.020044177770614624
adversarial,early,0.4242631793022156,0.4275496006011963,0.0020047128200531006
adversarial,mid,0.34262552857398987,0.3474843502044678,-0.0030585825443267822
adversarial,late,0.5030573010444641,0.4911119043827057,-0.016942501068115234
long context,early,0.4242631793022156,0.4279066026210785,0.0005580782890319824
long context,mid,0.34262552857398987,0.35911503434181213,0.0029038041830062866
long context,late,0.5030573010444641,0.48864227533340454,0.003530055284500122
