horizon_tok,split,med_lin,med_res,reduction,R2_lin
1,ID,0.20733966407933255,0.16645759154748402,0.04088207253184853,0.8885626716739143
1,OOD-es,2.3031109383147217,2.299164232939848,0.003946705374873627,-3.1677190380249556
1,OOD-ctx,1.8268080376691556,1.7841387366549224,0.04266930101423316,-2.24155671117235
2,ID,0.20770702451325906,0.16792863777906372,0.03977838673419534,0.8357823490258504
2,OOD-es,2.5948513948210867,2.5924860422962133,0.0023653525248734653,-3.9707782247471206
2,OOD-ctx,1.84500374387998,1.8235212081261924,0.021482535753787557,-2.6524958981328934
4,ID,0.2400862086918298,0.18439050000293533,0.05569570868889448,0.718186008084224
4,OOD-es,1.9108274539021022,1.939652763245981,-0.028825309343878835,-1.833481965276698
4,OOD-ctx,1.5208127414368384,1.5506108487742787,-0.02979810733744026,-1.24115825816873
8,ID,0.6197079892082018,0.5924728970772856,0.02723509213091624,0.5084496974037099
8,OOD-es,1.4230222529469565,1.4906070323115659,-0.06758477936460938,-0.7168064424482179
8,OOD-ctx,1.2096745828657454,1.2716188362327066,-0.06194425336696119,-0.4587422629673541
