context,horizon_ms,model,median,p95
ID,20,persistence,0.15144118666648865,0.4886453449726105
ID,20,Ax+b,0.1556038213673258,0.5147822837800664
ID,20,Ax+b+g(x),0.15958070878286468,0.5148096191605267
ID,200,persistence,1.1723055839538574,4.1265974044799805
ID,200,Ax+b,0.9853980606003025,3.2117458920338793
ID,200,Ax+b+g(x),1.001436107320473,3.3491509269872095
ID (low conflict),200,Ax+b,0.9578642271909557,3.651735214444042
OOD (high conflict),200,Ax+b,0.9754740341284511,2.6099911815713255
ID (no-stim blocks),200,Ax+b,0.9853980606003025,3.2117458920338793
OOD (stim blocks),200,Ax+b,0.6956121034279119,2.3459737157216343
