label,family,params,early,mid,late
DistilGPT-2,gpt2,81912576,0.6237613558769226,0.40382158756256104,0.7935731410980225
GPT-2 Small,gpt2,124439808,0.36809998750686646,0.25643226504325867,0.5147705674171448
GPT-2 Medium,gpt2,354823168,0.22973284125328064,0.1739199459552765,0.5325502157211304
Qwen 0.5B,qwen,494032768,0.5094737410545349,0.37052634358406067,0.40199729800224304
GPT-2 Large,gpt2,774030080,0.2427077740430832,0.18991729617118835,1.628174901008606
Qwen 1.5B,qwen,1543714304,0.4838840067386627,0.3499438166618347,0.4373546540737152
Qwen 3B,qwen,3085938688,0.4242631793022156,0.34262552857398987,0.43145552277565
Qwen 7B,qwen,7615616512,0.4975210130214691,0.38116419315338135,0.5030573010444641
Qwen 14B,qwen,14770033664,0.3507651388645172,0.33444803953170776,0.4857429563999176
