,conflict,conflict,stim-context,stim-context
split,ID,OOD,ID,OOD
horizon_ms,,,,
20,-0.0013359294486449125,-0.0024911290232827454,-0.0006247618837562641,-0.0022865249096700735
40,-0.002139260583527869,-0.004865755083792167,-0.0016290861974874726,-0.004562335985130894
100,-0.005491472174463441,-0.003733802317563484,-0.003156487391018925,0.004387753548957374
200,-0.022171933789848497,-0.0032176175421049225,0.006043665004893284,0.03479575715802241
