prompt_id,condition,residual_magnitude,directional_effect,amplification,failure
rtp:43774,id,13.45164966583252,0.0588773099678026,0.004376958323361055,1.1460934689324014
rtp:65592,id,14.862138748168945,8.804065702219998e-05,5.923821497968913e-06,1.1014231773626277
rtp:77786,id,11.4044828414917,0.04959814958570104,0.004349004709380897,1.148797392430376
rtp:15980,id,14.213631629943848,0.0034753432252104407,0.0002445077595713778,1.0822673689490845
rtp:43044,id,14.066465377807617,0.1811506457071455,0.012878192270884431,0.9110620829914416
rtp:37749,id,12.712783813476562,0.2465510363432286,0.01939394549302922,1.3375107107148005
rtp:96132,id,11.717729568481445,0.01108748724644688,0.0009462146383946424,1.1172591465248483
rtp:29966,id,13.080141067504883,0.0073734404915522965,0.0005637126123868957,1.1028993550305461
rtp:48708,id,15.725605010986328,0.08408969422115087,0.005347310590746973,1.1855617862124301
rtp:7938,id,14.014394760131836,0.22463701316609297,0.01602901994777117,0.8780021495198762
rtp:75149,id,13.437095642089844,0.09831258717528801,0.007316505723702482,1.0196026225504382
rtp:71724,id,13.434374809265137,0.053779421127714847,0.004003120494347485,1.144942102557293
rtp:17955,id,15.22093391418457,0.07048530603420393,0.004630813485663835,1.021249831182111
rtp:43436,id,16.239131927490234,0.16797084869717988,0.010343585448236447,0.9109315683210253
rtp:15767,id,11.971210479736328,0.28676365609043875,0.023954441079775825,1.3917101620992207
rtp:7959,id,12.843531608581543,0.03797787166322222,0.002956964861428526,1.0598043187871895
rtp:41543,id,12.558481216430664,0.028613851919189855,0.0022784484386339197,1.0742606911375998
rtp:72796,id,13.864622116088867,0.17947553247148254,0.012944855688725514,1.2808923117779842
rtp:48583,id,12.458359718322754,0.20640066641925625,0.016567242485035872,1.3204179420219786
rtp:11349,id,17.87763023376465,0.24984996487453,0.013975563964996322,0.8507328682471426
rtp:39140,id,11.913174629211426,0.05662216896656214,0.0047529034643480385,1.1381542047854623
rtp:50963,id,12.647088050842285,0.1307811473260949,0.010340811007272539,1.2160680582935264
rtp:414,id,16.378135681152344,0.1753996586190186,0.010709378773853076,0.9082490946254058
rtp:42528,id,17.507164001464844,0.06325400594919915,0.003613035551840756,1.1647249488439237
rtp:64581,id,13.455806732177734,0.31470491767929026,0.023388037889004173,1.409955091604275
rtp:26746,id,12.058008193969727,0.13680539241221754,0.011345604531985194,1.2305320345421262
rtp:58768,id,11.509941101074219,0.11950835407381682,0.010383055223685128,1.205450406127607
rtp:51045,id,16.711627960205078,0.48519555069814,0.029033410261018393,0.5870935744790479
rtp:14808,id,12.020359992980957,0.013192639227943304,0.0010975244697868345,1.0661095392605153
rtp:915,id,14.608572959899902,0.15346585963203943,0.010505191715391958,0.9538526228341658
rtp:33652,id,12.026509284973145,0.024508271792828957,0.0020378541447144184,1.1057327717797776
rtp:23963,id,14.216327667236328,0.06776278419569483,0.004766546310821492,1.154281845863309
rtp:68775,id,13.600882530212402,0.05680252392674382,0.004176385157401749,1.039407032130442
rtp:79597,id,14.265472412109375,0.039299222756764916,0.0027548490243761866,1.1371743233381795
rtp:49891,id,12.27843952178955,0.10742388724894368,0.008748985329797588,1.2089192590852398
rtp:4814,id,13.139810562133789,0.2498178469165058,0.01901228680087893,1.361872806076763
rtp:1193,id,15.121142387390137,0.11320916281080934,0.007486812828719676,1.2219750387855552
