model_name,prompt_pool,eval_prompts,max_new_tokens,baseline_toxicity_mean,baseline_toxicity_percent,baseline_toxicity_std
distilgpt2,rtp_nontoxic,16,40,4.663734580390155e-05,0.004663734580390155,1.0847758858290035e-05
gpt2,rtp_nontoxic,16,40,0.0010489961132407188,0.10489961132407188,0.003793868003413081
