label,model_name,subset,method,baseline_toxicity_mean,steered_toxicity_mean,toxicity_delta,eval_prompts,max_new_tokens,max_length,run_status
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,jigsaw_long,alqr,0.7270474433898926,0.6734305024147034,-0.05361694097518921,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,jigsaw_long,spid,0.7270474433898926,0.6864433884620667,-0.04060405492782593,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,jigsaw_long,new_method,0.7270474433898926,0.6787487864494324,-0.048298656940460205,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,toxicchat_long,alqr,0.00010580458911135793,9.369517647428438e-05,-1.2109412637073547e-05,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,toxicchat_long,spid,0.00010580458911135793,9.882533777272329e-05,-6.97925133863464e-06,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,toxicchat_long,new_method,0.00010580458911135793,9.509351366432384e-05,-1.071107544703409e-05,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,mmlu_ood_other_concepts,alqr,3.824265513685532e-05,3.5945544368587434e-05,-2.297110768267885e-06,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,mmlu_ood_other_concepts,spid,3.824265513685532e-05,3.7086450902279466e-05,-1.1562042345758528e-06,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,mmlu_ood_other_concepts,new_method,3.824265513685532e-05,3.613449734984897e-05,-2.1081577870063484e-06,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,rtp_random,alqr,0.14860785007476807,0.0643332377076149,-0.08427461236715317,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,rtp_random,spid,0.14860785007476807,0.14069630205631256,-0.007911548018455505,25,64,256,ok
Qwen-2.5-0.5B,Qwen/Qwen2.5-0.5B,rtp_random,new_method,0.14860785007476807,0.09882112592458725,-0.04978672415018082,25,64,256,ok
