method,method_label,n,baseline_mean,steered_mean,mean_delta,median_delta,std_delta,min_delta,max_delta,improvement_rate,ci95,mean_pct_change,std_pct_change,ci95_pct_change
new_method,H-infinity,1,0.04453904554247856,0.00018961320165544748,-0.044349432340823114,-0.044349432340823114,0.0,-0.044349432340823114,-0.044349432340823114,1.0,0.0,-99.57427645934935,0.0,0.0
spid,S-PID,1,0.04453904554247856,0.00040724524296820164,-0.04413180029951036,-0.04413180029951036,0.0,-0.04413180029951036,-0.04413180029951036,1.0,0.0,-99.08564443173844,0.0,0.0
alqr,A-LQR,1,0.04453904554247856,0.0013430380495265126,-0.04319600749295205,-0.04319600749295205,0.0,-0.04319600749295205,-0.04319600749295205,1.0,0.0,-96.98458277861926,0.0,0.0
