k_ctx,horizon_ms,med,q25,q75
1,20,0.15560382136732592,0.09464419817059523,0.2429508983081316
1,40,0.3025334990566333,0.18700218727995208,0.4798263797216542
1,100,0.6651763346593627,0.4315861636462407,1.0398384763553221
1,200,0.9853980606003024,0.6831815441356877,1.4700517041582228
1,300,1.0836441290583292,0.8099666915435305,1.5733128331582762
1,400,1.1142594793242921,0.8764389708502948,1.5840060897897024
1,500,1.1099873797157107,0.9226065252035388,1.5667510043255264
1,700,1.1344035168822675,0.9574629739195997,1.6350001204365912
2,20,0.0342999035428658,0.02181828726147572,0.055598690432436704
2,40,0.09871249543439836,0.06299968405040854,0.15995489369772906
2,100,0.4039742271482938,0.26239735677910314,0.6362390570535515
2,200,0.8804151850648002,0.6078845057988096,1.3907318801895003
2,300,1.061955156931947,0.7886028861461004,1.58630579984864
2,400,1.0991389879255191,0.8815497961833256,1.5794846982158093
2,500,1.1162621676440292,0.9226662561899741,1.5999788969427995
2,700,1.1411059709832734,0.9575346896888823,1.6963947183245562
4,20,0.011556221343584912,0.006889215260116308,0.019239778435313628
4,40,0.03646226377941013,0.021564173612841044,0.05913365697568083
4,100,0.2178476908376512,0.13273980969237187,0.3446555924549452
4,200,0.7255490071940981,0.4707496744055458,1.1195771329063922
4,300,1.0354464807219337,0.7417861662058394,1.603793550598374
4,400,1.1602998894450312,0.8599648094864736,1.7848358143237186
4,500,1.1545123784517506,0.9343255449100094,1.7027630041741626
4,700,1.148579043322393,0.9418793208136207,1.7658621032858495
8,20,0.006577383101847771,0.00394638463074812,0.011114307760868726
8,40,0.01940781683449209,0.011742299889005662,0.03057472316227409
8,100,0.14484875444089393,0.09083968393038105,0.2270175799747599
8,200,0.642357950762594,0.41677651871835425,1.0067408495540686
8,300,1.051487102884514,0.7260910217351563,1.6658587392284847
8,400,1.1985006828862441,0.8710908693584618,1.9142163294433798
8,500,1.1918684151626096,0.9256417028030298,1.7812578375787218
8,700,1.1845216974041464,0.9266446049808534,1.827730680316003
