horizon_tok,split,med_lin,med_res,reduction,R2_lin
1,ID,0.20733955053774772,0.16601115224847685,0.04132839828927087,0.8885626505063943
1,OOD-es,2.3031101799928644,2.2963243968029023,0.006785783189962036,-3.1677172110202854
1,OOD-ctx,1.826809838244806,1.7834556686016725,0.04335416964313343,-2.241557740289995
2,ID,0.20770701564310645,0.16822953366952678,0.03947748197357967,0.8357823090115155
2,OOD-es,2.5948487841136263,2.593884869943684,0.0009639141699424592,-3.9707782897742865
2,OOD-ctx,1.8450031843625734,1.8226809020882158,0.02232228227435762,-2.6524969303615937
4,ID,0.24008673352006327,0.18318949332702644,0.056897240193036824,0.7181859898528207
4,OOD-es,1.910826924732056,1.9396281752012463,-0.028801250469190354,-1.8334816655781156
4,OOD-ctx,1.5208125508691712,1.5517515549745047,-0.030939004105333456,-1.2411584038729555
8,ID,0.6197079840816079,0.5922435599336309,0.027464424147977007,0.5084496431624469
8,OOD-es,1.4230220571349819,1.4910604784942252,-0.06803842135924332,-0.716806344454106
8,OOD-ctx,1.2096744933717385,1.271679089382017,-0.06200459601027841,-0.45874241924531156
