axis,horizon_ms,split,med_lin,med_res,reduction
stim-context,20,ID,0.15560382136732592,0.15958069569969852,-0.003976874332372593
stim-context,20,OOD,0.08344382752686912,0.0894681444677041,-0.006024316940834981
stim-context,40,ID,0.3025334990566333,0.3078679082158849,-0.005334409159251596
stim-context,40,OOD,0.16494768535181809,0.17043533148650933,-0.005487646134691243
stim-context,100,ID,0.6651763346593627,0.6774418208007209,-0.01226548614135825
stim-context,100,OOD,0.4007252947045388,0.3903881457785959,0.010337148925942952
stim-context,200,ID,0.9853980606003024,1.0014361011126018,-0.0160380405122994
stim-context,200,OOD,0.6956121034279117,0.6370020050058709,0.05861009842204079
conflict,20,ID,0.14693223965468888,0.14716970690139553,-0.00023746724670664632
conflict,20,OOD,0.1444830924398212,0.15209996974215373,-0.007616877302332542
conflict,40,ID,0.289783329513835,0.2903647005166246,-0.0005813710027895991
conflict,40,OOD,0.2844872411673409,0.2880697130881795,-0.0035824719208386036
conflict,100,ID,0.6232722669084013,0.6468336959284108,-0.02356142902000946
conflict,100,OOD,0.6435317849997906,0.6492209829215918,-0.005689197921801226
conflict,200,ID,0.9578642271909552,0.9906844477331707,-0.03282022054221545
conflict,200,OOD,0.9754740341284514,0.9884326690515444,-0.012958634923093015
