subject,condition,correct,n,accuracy_pct,ci_low_pct,ci_high_pct
P10,No stimulation,251,254,98.81889763779527,96.58561490416281,99.59752070726809
P10,Open-loop,255,260,98.07692307692307,95.57802467127408,99.17584802084866
P14,No stimulation,120,125,96.0,90.97744468602555,98.27953909280842
P14,Closed-loop,360,372,96.7741935483871,94.44698640047565,98.14524679592202
P15,No stimulation,133,137,97.08029197080292,92.7335011614592,98.85884748371527
P15,Closed-loop,241,242,99.58677685950413,97.69687320949764,99.92701868867296
P17,No stimulation,144,151,95.36423841059603,90.74103910248671,97.7365566547617
P17,Closed-loop,328,341,96.18768328445748,93.58757711911623,97.75874796524357
