device,case,feasible,feasibility_match,gamma_reference,gamma_optimized,gamma_absolute_error,gain_relative_error,intervention_relative_error,diagnostic_relative_error,induced_gain_reference,induced_gain_optimized,gamma_used,analytic_gamma,analytic_gamma_error,gamma_match,gain_match,intervention_match,diagnostic_match,parity_pass
cpu,scalar analytic,True,True,0.4381812381744384,0.4381812381744384,0.0,0.0,0.0,0.0,0.4381780612393102,0.4381780612393102,0.4386194194126128,0.4381781601129842,3.0780614542202933e-06,True,True,True,True,True
cpu,square time-varying,True,True,0.4285015964508056,0.4285015964508056,0.0,0.0,0.0,6.16827701189252e-06,0.4285564126554312,0.4285564126554312,0.4289300980472564,,,True,True,True,True,True
cpu,rectangular channels,True,True,0.5461054325103758,0.5461054325103758,0.0,9.835841413629135e-08,1.273177422636161e-07,1.6030749339659686e-06,0.5461055986382308,0.5461055986382308,0.5466515379428861,,,True,True,True,True,True
cpu,conditioned costs,True,True,0.2953398323059081,0.2953398323059081,0.0,0.0,0.0,6.497282511589528e-06,0.2953336106678101,0.2953336106678101,0.295635172138214,,,True,True,True,True,True
cpu,capped infeasible,False,True,,,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,True
cuda:0,scalar analytic,True,True,0.4381812381744384,0.4381812381744384,0.0,0.0,0.0,0.0,0.4381780612393102,0.4381780612393102,0.4386194194126128,0.4381781601129842,3.0780614542202933e-06,True,True,True,True,True
cuda:0,square time-varying,True,True,0.4285015964508056,0.4285015964508056,0.0,2.9075512529311934e-06,2.238325663095e-06,3.0205475982474243e-05,0.4285564122545094,0.4285564122614709,0.4289300980472564,,,True,True,True,True,True
cuda:0,rectangular channels,True,True,0.5461054325103758,0.5461054325103758,0.0,1.9049202006589029e-06,2.3237577967012517e-06,1.1677085471325344e-05,0.5461055983416762,0.5461055984611072,0.5466515379428861,,,True,True,True,True,True
cuda:0,conditioned costs,True,True,0.2953398323059081,0.2953398323059081,0.0,2.87004302128642e-06,1.1051701922230026e-05,9.962347739862742e-06,0.2953336106667745,0.2953336107458517,0.295635172138214,,,True,True,True,True,True
cuda:0,capped infeasible,False,True,,,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,True
