shift,split,trial,behavior,response_accuracy,linear_residual_rms,corrected_residual_rms,correction_benefit,ridge_lambda,abs_correction_benefit
Brain: stimulation context,ID,73,798.75,1.0,1.4231861014015943,1.5028064409502104,-0.07962033954861614,100.0,0.07962033954861614
Brain: stimulation context,ID,38,1109.3999999999999,1.0,0.8020434055084442,0.7347987114127251,0.0672446940957191,100.0,0.0672446940957191
Brain: stimulation context,ID,110,955.7900000000001,1.0,1.9137453848944,1.9303117050649743,-0.016566320170574356,100.0,0.016566320170574356
Brain: stimulation context,ID,31,1130.8,1.0,0.6798236072097663,0.6556325750966705,0.02419103211309581,100.0,0.02419103211309581
Brain: stimulation context,ID,116,909.95,1.0,0.5419736002708311,0.5699353297776968,-0.027961729506865707,100.0,0.027961729506865707
Brain: stimulation context,ID,104,1200.8000000000002,1.0,1.8588433169561787,1.8417932297741677,0.017050087182010953,100.0,0.017050087182010953
Brain: stimulation context,ID,48,787.44,1.0,1.4281277980561713,1.4836103924663289,-0.05548259441015757,100.0,0.05548259441015757
Brain: stimulation context,ID,77,1075.0,1.0,0.9274270734938161,0.8947401903782422,0.032686883115573995,100.0,0.032686883115573995
Brain: stimulation context,ID,76,712.2,1.0,0.9771298540423695,1.006394563316209,-0.029264709273839506,100.0,0.029264709273839506
Brain: stimulation context,ID,7,820.0,1.0,1.38414062673013,1.404151703294866,-0.020011076564736108,100.0,0.020011076564736108
Brain: stimulation context,ID,109,758.81,1.0,1.3359880490023215,1.3640677847887575,-0.028079735786435966,100.0,0.028079735786435966
Brain: stimulation context,ID,103,805.88,1.0,0.7723810210236772,0.7265912829052139,0.04578973811846332,100.0,0.04578973811846332
Brain: stimulation context,ID,63,1211.7,1.0,0.920921107057297,0.9768315448977014,-0.05591043784040439,100.0,0.05591043784040439
Brain: stimulation context,ID,69,941.53,1.0,0.6272647935925983,0.47176588920013696,0.1554989043924614,100.0,0.1554989043924614
Brain: stimulation context,ID,113,1356.8,1.0,1.1429375825768529,1.1452391427843973,-0.002301560207544462,100.0,0.002301560207544462
Brain: stimulation context,ID,78,1068.1000000000001,1.0,0.5442266015115427,0.4048359467171109,0.1393906547944318,100.0,0.1393906547944318
Brain: stimulation context,ID,59,1384.1000000000001,1.0,0.6643778593108982,0.6571963373788532,0.007181521932045021,100.0,0.007181521932045021
Brain: stimulation context,ID,54,966.61,1.0,1.75553300145376,1.682041103096895,0.07349189835686509,100.0,0.07349189835686509
Brain: stimulation context,ID,29,1007.2,1.0,1.393345265201983,1.3619450198318552,0.031400245370127866,100.0,0.031400245370127866
Brain: stimulation context,ID,41,1497.9,1.0,0.8423513887169161,0.873690193285529,-0.03133880456861293,100.0,0.03133880456861293
Brain: stimulation context,ID,56,1232.6,1.0,1.7635614540819171,1.8675404777312385,-0.10397902364932143,100.0,0.10397902364932143
Brain: stimulation context,ID,120,587.7099999999999,1.0,0.7122437628422706,0.7029419765958884,0.009301786246382227,100.0,0.009301786246382227
Brain: stimulation context,ID,33,1298.2,1.0,1.0243580179749645,1.1010009957957432,-0.07664297782077867,100.0,0.07664297782077867
Brain: stimulation context,ID,79,1394.6000000000001,1.0,1.4647810436688395,1.5032518392504253,-0.038470795581585726,100.0,0.038470795581585726
Brain: stimulation context,OOD,0,1140.2,1.0,0.6042368317930391,0.44296062122728286,0.16127621056575625,100.0,0.16127621056575625
Brain: stimulation context,OOD,2,803.96,1.0,0.6141665358988393,0.4553020053210699,0.1588645305777694,100.0,0.1588645305777694
Brain: stimulation context,OOD,3,1147.2,1.0,0.684042472372616,0.5848683284234997,0.09917414394911628,100.0,0.09917414394911628
Brain: stimulation context,OOD,4,1102.5,1.0,0.6340174558106879,0.44257431605840725,0.19144313975228067,100.0,0.19144313975228067
Brain: stimulation context,OOD,5,1339.8000000000002,1.0,0.8312097353582658,0.8176943864521848,0.01351534890608097,100.0,0.01351534890608097
Brain: stimulation context,OOD,6,1196.1999999999998,1.0,0.6883629840512875,0.5933256964031117,0.09503728764817576,100.0,0.09503728764817576
Brain: stimulation context,OOD,7,1211.3,1.0,0.8209570033922114,0.8340457458186776,-0.013088742426466182,100.0,0.013088742426466182
Brain: stimulation context,OOD,8,932.4,1.0,0.5952291330832902,0.47505651481504596,0.12017261826824421,100.0,0.12017261826824421
Brain: stimulation context,OOD,9,1233.8,1.0,0.6433706632203251,0.5580824342812595,0.08528822893906562,100.0,0.08528822893906562
Brain: stimulation context,OOD,10,760.5699999999999,1.0,0.6263367482537736,0.4415600984485908,0.18477664980518282,100.0,0.18477664980518282
Brain: stimulation context,OOD,11,713.24,1.0,0.7640057285605606,0.6436917999211109,0.12031392863944967,100.0,0.12031392863944967
Brain: stimulation context,OOD,12,658.03,1.0,0.6260662124018503,0.4879778223246797,0.13808839007717066,100.0,0.13808839007717066
Brain: stimulation context,OOD,13,919.13,1.0,0.5811911370355974,0.4233192768843383,0.15787186015125915,100.0,0.15787186015125915
Brain: stimulation context,OOD,14,1156.4,1.0,1.3906142004992046,1.3690949869764362,0.02151921352276842,100.0,0.02151921352276842
Brain: stimulation context,OOD,15,873.15,1.0,1.0635297948557656,1.0847480714542845,-0.021218276598518937,100.0,0.021218276598518937
Brain: stimulation context,OOD,16,1028.1,1.0,0.9200556055212725,0.9129506172006853,0.007104988320587258,100.0,0.007104988320587258
Brain: stimulation context,OOD,17,1107.0,1.0,1.0133439549880399,1.065882407957749,-0.05253845296970905,100.0,0.05253845296970905
Brain: stimulation context,OOD,18,764.05,1.0,0.9528657920523533,0.9179259393150512,0.03493985273730216,100.0,0.03493985273730216
Brain: stimulation context,OOD,19,752.94,1.0,0.9280880223074922,0.9394834565572552,-0.01139543424976297,100.0,0.01139543424976297
Brain: stimulation context,OOD,20,757.9,1.0,0.8629770806048895,0.7862311182290053,0.07674596237588427,100.0,0.07674596237588427
Brain: stimulation context,OOD,21,1066.8999999999999,1.0,0.7086806683765339,0.6864718583990885,0.022208809977445343,100.0,0.022208809977445343
Brain: stimulation context,OOD,22,707.85,1.0,0.6041543697712926,0.4271714466969905,0.17698292307430208,100.0,0.17698292307430208
Brain: stimulation context,OOD,23,1394.7,1.0,0.8835484606505839,0.8548918486356157,0.028656612014968164,100.0,0.028656612014968164
Brain: stimulation context,OOD,24,1296.1000000000001,1.0,0.678619154293666,0.6852571644401009,-0.006638010146434836,100.0,0.006638010146434836
Brain: stimulation context,OOD,25,775.39,1.0,0.6311726588074602,0.4311793262387316,0.1999933325687286,100.0,0.1999933325687286
Brain: stimulation context,OOD,26,626.22,1.0,0.8455300064928677,0.8303308151041879,0.015199191388679756,100.0,0.015199191388679756
Brain: stimulation context,OOD,27,697.55,1.0,0.6976224923970766,0.5492644496633781,0.14835804273369857,100.0,0.14835804273369857
