condition,method,n,truth_percent,info_percent,truth_x_info_percent,mean_layer_relative_residual_percent,residual_to_performance_gain,display_condition
id,alqr,50,60.0,94.0,56.4,38.751739263534546,0.05216274012855058,id
id,hinf,50,48.0,100.0,48.0,39.9752140045166,0.035984569800317535,id
spanish,alqr,50,76.0,60.0,45.6,41.97223782539368,0.051467080121042404,spanish
spanish,hinf,50,50.0,84.0,42.0,41.81885123252869,0.03914832754768317,spanish
japanese_romaji,alqr,50,84.0,14.000000000000002,11.760000000000002,43.63882541656494,0.055994199114730685,japanese_romaji
japanese_romaji,hinf,50,68.0,22.0,14.96,44.09943222999573,0.03972172397202351,japanese_romaji
long_context_end,alqr,50,52.0,92.0,47.84,42.39260256290436,0.05128893931285368,long_context_end
long_context_end,hinf,50,32.0,94.0,30.08,43.39896738529205,0.03542104608651346,long_context_end
long_context_start,alqr,50,82.0,14.000000000000002,11.480000000000002,54.865485429763794,0.04471608242381067,long_context_start
long_context_start,hinf,50,62.0,16.0,9.92,54.91651892662048,0.030734505622668114,long_context_start
corrupting_words,alqr,50,100.0,24.0,24.0,56.125473976135254,0.04974953007214622,corrupting_words
corrupting_words,hinf,50,56.00000000000001,6.0,3.3600000000000008,57.58159160614014,0.03472877131399223,corrupting_words
bos_mix,alqr,50,100.0,4.0,4.0,50.54720640182495,0.03783918884635082,bos_mix
bos_mix,hinf,50,96.0,0.0,0.0,53.03555130958557,0.027635426312679158,bos_mix
lciteeval_complexity,alqr,50,86.0,64.0,55.04,40.62575101852417,0.0639061353565994,lciteeval_complexity
lciteeval_complexity,hinf,50,57.99999999999999,74.0,42.91999999999999,40.90840518474579,0.0444048597475077,lciteeval_complexity
