benchmark,model_key,model_id,model_revision,model_label,model_family,parameter_count,calibration_id,calibration_state,configuration_id,is_selected,feasible,gamma_star,gamma_used,s_rob,negative_log_gamma_star,setpoint_multiplier,q,r,q_final,q_over_r,q_final_over_r,selection_metric,tuning_samples,tuning_repetitions,normalization_protocol_id,protocol_id,coordinates,min_disturbance_margin,min_control_margin,max_condition_number_m,max_condition_number_h,max_norm_s,max_norm_k,bisection_iterations,bisection_converged,controller_path,controller_sha256,selection_path
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_00_qf_00,True,True,0.13007521629333496,0.1313759684562683,7.687859597672181,2.0396424089715963,1.5,0.01,1.0,0.01,0.01,0.01,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.0011333595030009747,1.0100065469741821,15.192041397094727,5.286236763000488,0.7349804043769836,0.7545679211616516,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_00_qf_00.pt,fe911ebc1ace60c02a6f04c2065b168141029c183747974d859bdfdb6e3b3e8e,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_00_qf_01,False,True,0.3188669681549072,0.3220556378364563,3.136104080602651,1.1429812909051018,1.5,0.01,1.0,0.1,0.01,0.1,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.002043813467025757,1.0100017786026,48.53490447998047,5.499762535095215,0.9349281787872314,0.8199216723442078,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_00_qf_01.pt,e04ccd9feadf72e978839b91b314cbb2f270e376b5755e9b75d786bf0e3364bf,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_00_qf_02,False,True,0.5670368671417236,0.5727072358131409,1.763553761575899,0.5673309559542108,1.5,0.01,1.0,0.31622776601683794,0.01,0.31622776601683794,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.0064657628536224365,1.0100011825561523,48.5153923034668,12.806931495666504,1.2105754613876343,1.099930763244629,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_00_qf_02.pt,fe633d0d6851f3b465e0f17796000d6c2dda5a6517e8b73ace60b040026b9bdb,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_01_qf_00,False,True,0.25531649589538574,0.2578696608543396,3.9167073654721607,1.3652513430524518,1.5,0.1,1.0,0.01,0.1,0.01,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.002273084130138159,1.0100687742233276,29.109254837036133,15.595499038696289,1.3509000539779663,0.9755994081497192,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_01_qf_00.pt,dc4bf86348279c9258dd023b151eefc698bd7b0671a5ce9ef655b89b4a22df1c,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_01_qf_01,False,True,0.3188669681549072,0.3220556378364563,3.136104080602651,1.1429812909051018,1.5,0.1,1.0,0.1,0.1,0.1,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.002043813467025757,1.1001017093658447,48.53490447998047,5.499762535095215,1.3018479347229004,0.9281947016716003,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_01_qf_01.pt,8fc85242cf283af691fd0aad06913f43a495329b50dc914a2495a7d23f207e49,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_01_qf_02,False,True,0.5670368671417236,0.5727072358131409,1.763553761575899,0.5673309559542108,1.5,0.1,1.0,0.31622776601683794,0.1,0.31622776601683794,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.0064657628536224365,1.1000361442565918,48.5153923034668,12.806931495666504,1.406341314315796,1.099930763244629,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_01_qf_02.pt,b0529bdf3507d0b81f6fad419f7a3fc301cfe419eb45f994d3bfb9ef3ffd1293,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_02_qf_00,False,True,0.648033618927002,0.654513955116272,1.5431298173322787,0.4338127029154498,1.5,1.0,1.0,0.01,1.0,0.01,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.0090080751106143,1.0100103616714478,46.806114196777344,31.739362716674805,4.543519020080566,1.7852319478988647,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_02_qf_00.pt,bbb4b2b592043edee99dce0d3f1af322d69b089bbaac59d32017a3a1f4636582,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_02_qf_01,False,True,0.6499290466308594,0.656428337097168,1.5386294937637564,0.43089208108018184,1.5,1.0,1.0,0.1,1.0,0.1,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.009080732241272926,1.1010607481002808,46.70290756225586,31.871692657470703,4.552134990692139,1.7931749820709229,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_02_qf_01.pt,3b9ee001130417c13aeea4e6c748d4c33cc4d8f4bff5fbaa888fff48e0dedec0,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_02_qf_02,False,True,0.6536126136779785,0.6601487398147583,1.529958233781393,0.4252404368496459,1.5,1.0,1.0,0.31622776601683794,1.0,0.31622776601683794,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.00923426728695631,1.3269602060317993,46.44791793823242,32.096534729003906,4.56859827041626,1.8082441091537476,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_02_qf_02.pt,449f5a0ba1b5a296ee32b25cc22e7d3a740b948ba56a6c074c654475d4421319,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
harmful,llama32_1b,meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,Llama-3.2-1B-Instruct,llama,1235814400,selected,current_candidate,q_03_qf_00,False,True,1.7526209354400635,1.7701471447944641,0.5705740355936757,-0.5611123449294819,1.5,10.0,1.0,0.01,10.0,0.01,mean per-response AXBench three-judge harmonic mean,50,1,kaz-raw-reduced-covariance-v1,full-reduced-state-80f5a13054238fc5,raw,0.06192439794540405,1.010001301765442,49.76802444458008,45.82026672363281,30.660816192626953,2.4811623096466064,24,True,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/grid/controllers/q_03_qf_00.pt,c6e988f9cc7eea228f5c58e7ac284ca7b16b10fc28e9554bb08345849802b019,benchmarks/harmful/cache/llama32_1b_instruct/calibrations/h_infinity/selected/selection.json
